Comment,Designator,Footprint
3.3uH,L1,L_10.4x10.4_H4.8
10uF,"C2,C1",C_1206_3216Metric
6.8k,"R6,R7",R_0402_1005Metric
20k,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder
LED_Red_power,"D2,D1",LED_0603_1608Metric
22uF,"C5,C4",C_1206_3216Metric
Q_Dual_PMOS_S1G1S2G2D2D2D1D1,Q2,SOP-8_3.9x4.9mm_P1.27mm
56.2k,R4,R_0402_1005Metric
10k,"R5,R3",R_0402_1005Metric
TPS563200,U3,SOT-23-6
ULN2003,"U2,U1",SOIC-16_3.9x9.9mm_P1.27mm
10k,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder
PMOS,Q1,SOIC-8_3.9x4.9mm_P1.27mm
100nF,C3,C_0603_1608Metric
