Designator,Mid X,Mid Y,Layer,Rotation
C1,227.33,-129.54,top,90
C2,169.168536,-129.541522,top,90
C3,206.375,-122.555,top,180
C4,183.515,-122.555,top,0
C5,136.525,-121.92,top,180
C6,235.585,-86.36,top,0
C7,229.87,-86.36,top,180
C8,205.74,-65.405,top,270
C9,190.5,-65.405,top,270
C10,222.25,-71.12,top,270
C11,234.315,-71.12,top,270
C12,246.38,-72.39,top,270
C13,184.15,-95.25,top,270
C14,199.39,-95.25,top,270
C15,214.63,-95.25,top,270
C16,80.01,-64.135,top,180
C17,80.01,-61.595,top,180
C18,86.36,-72.39,top,180
C19,100.33,-78.105,top,180
C20,100.33,-75.565,top,180
C21,187.96,-109.855,top,270
C22,198.12,-109.855,top,90
D1,111.5,-125.73,top,270
D2,121.5,-125.681168,top,270
D5,135.255,-114.3,top,0
D33,78.74,-93.98,top,90
D34,90.805,-91.44,top,180
D35,78.74,-105.41,top,90
D36,90.6,-103,top,180
D37,78.74,-115.57,top,90
D38,90.805,-113.03,top,180
D39,123.3425,-114.3,top,180
D40,111.9125,-114.3,top,180
DNS,129.54,-72.39,top,0
DNS,129.54,-74.676,top,0
DNS,129.54,-70.104,top,0
F17,82.55,-93.98,top,90
F18,82.55,-105.41,top,90
F19,82.55,-115.57,top,90
G***,139.7,-88.265,top,0
L1,93.98,-68.58,top,0
Q17,86.16,-93.98,top,0
Q18,86.16,-105.41,top,0
Q19,86.16,-115.57,top,0
Q20,76.2,-68.58,top,90
Q21,106.68,-68.58,top,0
R1,161.29,-53.34,top,0
R2,157.48,-53.34,top,180
R3,107.95,-125.73,top,270
R4,124.46,-125.73,top,270
R7,123.825,-116.84,top,0
R8,135.765,-115.57,top,180
R49,89.4,-95.8,top,180
R50,89.4,-94.6,top,0
R51,89.445,-93.345,top,0
R52,89.645,-107.315,top,180
R53,89.645,-106.045,top,0
R54,89.645,-104.775,top,0
R55,89.6,-117.4,top,180
R56,172.275,-54.61,top,180
R57,172.275,-56.515,top,180
R58,172.275,-58.42,top,180
R59,172.275,-60.325,top,180
R60,172.275,-62.23,top,180
R61,172.275,-64.135,top,180
R62,172.275,-66.04,top,180
R63,172.275,-67.945,top,180
R64,172.275,-69.85,top,180
R65,172.275,-71.755,top,180
R66,172.275,-73.66,top,180
R67,172.275,-75.565,top,180
R68,172.275,-77.47,top,180
R69,172.275,-79.375,top,180
R71,89.6,-116.2,top,0
R72,89.535,-114.935,top,0
R73,83.185,-74.295,top,0
R74,83.185,-75.565,top,180
R75,123.825,-115.57,top,0
R76,112.395,-115.57,top,0
U2,162.56,-124.46,top,0
U3,219.71,-124.46,top,0
U4,180.34,-128.905,top,0
U5,201.93,-128.905,top,0
U7,83.82,-69.215,top,90
U8,193.04,-109.855,top,90
U9,132.275001,-125.73,top,270
