Designator,Mid X,Mid Y,Layer,Roation
C1,-8.5725,64.897,top,180
C2,-9.144,69.85,top,270
C3,-0.762,69.85,top,90
C4,0.381,66.421,top,270
C5,-8.5725,66.421,top,180
C6,6.731,63.5,top,0
C7,2.794,69.85,top,270
D1,2.54,61.849,top,180
D2,-9.144,76.454,top,90
D3,8.636,76.2,top,90
F1,-3.175,76.2,top,90
Q1,3.175,75.565,top,180
R1,-8.5725,61.722,top,180
R2,-8.5725,63.373,top,180
R3,0.381,64.135,top,90
R4,6.477,61.976,top,0
R5,-6.35,76.454,top,90
R6,6.35,76.2,top,90
R7,3.3,78.105,top,180
U1,-5.334,70.358,top,90
U2,-3.8735,64.008,top,90
U3,6.096,68.199,top,0
